Name,Average
Mesocricetus_brandti,9.01
Mesocricetus_raddei,8.99
Mesocricetus_auratus,8.79
Microtus_gregalis,8.48
Phodopus_campbelli,8.47
Microtus_xanthognathus,8.1
Lasiopodomys_brandtii,8
Microtus_sachalinensis,7.89
Alticola_stoliczkanus,7.77
Eolagurus_luteus,7.5
Sigmodon_fulviventer,7.5
Cricetus_cricetus,7.14
Graomys_griseoflavus,6.97
Selevinia_betpakdalaensis,6.9
Lemmus_trimucronatus,6.86
Microtus_maximowiczii,6.8
Ondatra_zibethicus,6.55
Thomomys_clusius,6.5
Lemmus_sibiricus,6.39
Phodopus_roborovskii,6.28
Calomys_musculinus,6.27
Eligmodontia_typus,6.24
Thomomys_townsendii,6.15
Microtus_guentheri,6.14
Cricetulus_barabensis,6.06
Alticola_strelzowi,6.9
Eozapus_setchuanus,6
Peromyscus_keeni,5.99
Georychus_capensis,5.94
Microtus_richardsoni,5.93
Eligmodontia_morgani,5.9
Chionomys_gud,5.83
Cricetulus_longicaudatus,5.71
Microtus_oeconomus,5.62
Myodes_rutilus,5.6
Microtus_montanus,5.54
Chaetodipus_intermedius,5.53
Microtus_socialis,5.51
Chaetocauda_sichuanensis,5.5
Microtus_middendorffii,5.49
Pygeretmus_zhitkovi,5.49
Phodopus_sungorus,5.48
Zapus_trinotatus,5.47
Alticola_roylei,5.44
Sigmodon_hispidus,5.44
Myodes_gapperi,5.37
Zapus_hudsonius,5.36
Abrothrix_olivaceus,5.34
Microtus_fortis,5.34
Chaetodipus_hispidus,5.34
Calomys_laucha,5.3
Sicista_betulina,5.29
Chaetodipus_formosus,5.28
Myopus_schisticolor,5.25
Cricetulus_migratorius,5.2
Allocricetulus_curtatus,5.19
Necromys_urichi,5.18
Sigmodon_alstoni,5.18
Pygeretmus_platyurus,5.17
Glis_glis,5.17
Graphiurus_platyops,5.17
Microtus_pennsylvanicus,5.16
Allactodipus_bobrinskii,5.15
Lemmiscus_curtatus,5.11
Lemmus_lemmus,5.1
Microtus_townsendii,5.06
Zapus_princeps,5.04
Myodes_rufocanus,5.01
Andalgalomys_pearsoni,5
Nectomys_rattus,5
Oligoryzomys_microtis,5
Allactaga_williamsi,5
Calomyscus_mystax,4.99
Hydrochoerus_isthmius,4.99
Allocricetulus_eversmanni,4.99
Microtus_arvalis,4.99
Allactaga_euphratica,4.99
Thomomys_bulbivorus,4.99
Eliomys_melanurus,4.99
Eliomys_quercinus,4.99
Graphiurus_christyi,4.99
Graphiurus_lorraineus,4.99
Graphiurus_ocularis,4.99
Graphiurus_surdus,4.99
Oligoryzomys_flavescens,4.95
Calomys_callosus,4.91
Abrocoma_bennettii,4.86
Akodon_boliviensis,4.86
Necromys_obscurus,4.86
Peromyscus_ochraventer,4.86
Eremodipus_lichtensteini,4.86
Thomomys_talpoides,4.86
Myodes_centralis,4.83
Phenacomys_ungava,4.8
Oligoryzomys_longicaudatus,4.77
Arvicola_amphibius,4.76
Peromyscus_maniculatus,4.76
Microtus_longicaudus,4.73
